date,race_no,tier,axis1,axis2,cands,res,hit_3t,hit_3f,inv,ret,conf,track_name,jcd,active,bet_yen_eff,daily_capped,daily_cap_k,daily_cap_rank,daily_cap_priority,tier_raw,a_pruned,a_prune_reason,wave_cm,ret_if_bet,hit_3t_if_bet,hit_3f_if_bet,two_axis,cand_policy,cand_len,cand_invalid,cand_invalid_reason,filter_excluded,filter_excluded_reason
2025-10-02,1,SKIP,1,4,6-2,,0,0,0,0,0.884928,びわこ,11,0,0,0,10,,conf,S,0,,,6200,0,1,1,v12,2,0,,1.0,exclude_jcd
2025-10-02,2,SKIP,4,1,5-2,,0,0,0,0,0.811274,びわこ,11,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,3,SKIP,2,3,1-4,,0,0,0,0,0.829039,びわこ,11,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,4,SKIP,6,1,5-3,,0,0,0,0,0.867183,びわこ,11,0,0,0,10,,conf,A,0,,,0,0,0,1,v12,2,0,,1.0,exclude_jcd
2025-10-02,5,SKIP,1,6,4-5,,0,0,0,0,0.837995,びわこ,11,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2025-10-02,6,SKIP,4,6,3-1,,0,0,0,0,0.858364,びわこ,11,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2025-10-02,7,SKIP,3,1,4-6,,0,0,0,0,0.823634,びわこ,11,0,0,0,10,,conf,A,1,race_5_8,,3900,0,1,0,v12,2,0,,,
2025-10-02,8,SKIP,5,4,2-1,,0,0,0,0,0.833558,びわこ,11,0,0,0,10,,conf,A,1,race_5_8,,3500,0,1,0,v12,2,0,,,
2025-10-02,9,SKIP,5,1,2-6,,0,0,0,0,0.816805,びわこ,11,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,10,SKIP,1,2,3-4,,0,0,0,0,0.836327,びわこ,11,0,0,0,10,,conf,A,0,,,3400,0,1,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,11,SKIP,1,2,4-3,,0,0,0,0,0.873115,びわこ,11,0,0,0,10,,conf,S,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,12,SKIP,6,1,2-5,,0,0,0,0,0.857255,びわこ,11,0,0,0,10,,conf,A,0,,,0,0,0,1,v12,2,0,,1.0,exclude_jcd
2025-10-02,1,SKIP,3,5,2-6,,0,0,0,0,0.813598,下関,19,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,2,SKIP,5,4,3-1,,0,0,0,0,0.795623,下関,19,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,3,SKIP,2,5,3-4,,0,0,0,0,0.855908,下関,19,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,4,SKIP,6,1,2-4,,0,0,0,0,0.815784,下関,19,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,5,SKIP,4,1,2-5,,0,0,0,0,0.853372,下関,19,0,0,0,10,,conf,A,1,race_5_8,,8200,1,1,1,v12,2,0,,,
2025-10-02,6,SKIP,3,6,2-4,,0,0,0,0,0.758808,下関,19,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,1,v12,2,0,,,
2025-10-02,7,SKIP,1,2,4-6,,0,0,0,0,0.856903,下関,19,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2025-10-02,8,SKIP,4,1,5-2,,0,0,0,0,0.83408,下関,19,0,0,0,10,,conf,A,1,race_5_8,,10500,0,1,0,v12,2,0,,,
2025-10-02,9,SKIP,3,1,5-6,,0,0,0,0,0.874168,下関,19,0,0,0,10,,conf,S,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,10,SKIP,3,5,4-2,,0,0,0,0,0.856181,下関,19,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,11,SKIP,1,5,3-2,,0,0,0,0,0.832065,下関,19,0,0,0,10,,conf,A,0,,,17900,1,1,1,v12,2,0,,1.0,exclude_jcd
2025-10-02,12,SKIP,3,5,2-4,,0,0,0,0,0.816475,下関,19,0,0,0,10,,conf,A,0,,,906900,1,1,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,1,SKIP,2,3,4-5,,0,0,0,0,0.834035,住之江,12,0,0,0,10,,conf,A,0,,,0,0,0,1,v12,2,0,,1.0,exclude_jcd
2025-10-02,2,SKIP,5,2,1-3,,0,0,0,0,0.847284,住之江,12,0,0,0,10,,conf,A,0,,,4000,0,1,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,3,SKIP,2,4,3-6,,0,0,0,0,0.765352,住之江,12,0,0,0,10,,conf,A,0,,,0,0,0,1,v12,2,0,,1.0,exclude_jcd
2025-10-02,4,SKIP,5,3,6-2,,0,0,0,0,0.826691,住之江,12,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2025-10-02,5,SKIP,3,6,2-1,,0,0,0,0,0.803772,住之江,12,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,1,v12,2,0,,,
2025-10-02,6,SKIP,2,5,6-1,,0,0,0,0,0.779445,住之江,12,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,1,v12,2,0,,,
2025-10-02,7,SKIP,5,4,3-6,,0,0,0,0,0.823601,住之江,12,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
