jcd,track_name,n_total,n_bet,n_S,n_A,n_SKIP,n_A_pruned,inv_sum,ret_sum,roi,hit3t_rate,hit3f_rate,hit_any_rate,conf_mean,conf_p50,conf_p75,conf_p90,conf_p95,auc_conf_vs_hit3t,auc_conf_vs_hit_any
1,桐生,36.0,25.0,4.0,21.0,11.0,11.0,250000.0,356000.0,1.424,0.16,0.0,0.16,0.8358298400000002,0.839884,0.862097,0.8747547999999999,0.8775892,0.75,0.75
2,戸田,24.0,16.0,1.0,15.0,8.0,8.0,160000.0,373400.0,2.33375,0.0625,0.0,0.0625,0.8064120625,0.806025,0.8251005,0.8360540000000001,0.8481015000000001,0.7333333333333333,0.7333333333333333
3,江戸川,36.0,24.0,5.0,19.0,12.0,12.0,240000.0,310400.0,1.2933333333333332,0.125,0.0,0.125,0.836626875,0.8344484999999999,0.8545675,0.8720166,0.8729147500000001,0.4444444444444444,0.4444444444444444
4,平和島,12.0,8.0,0.0,8.0,4.0,4.0,80000.0,63600.0,0.795,0.25,0.0,0.25,0.83517025,0.8469805,0.8507162500000001,0.8574238000000001,0.8613529,0.4166666666666667,0.4166666666666667
5,多摩川,24.0,17.0,2.0,15.0,7.0,7.0,170000.0,43600.0,0.2564705882352941,0.0,0.0,0.0,0.8414631764705882,0.843995,0.865964,0.8714006,0.876514,,
6,浜名湖,24.0,16.0,1.0,15.0,8.0,8.0,160000.0,98400.0,0.615,0.0625,0.0,0.0625,0.8244755625000001,0.8245290000000001,0.8445315,0.8627545000000001,0.86819225,0.6666666666666666,0.6666666666666666
7,蒲郡,36.0,24.0,0.0,24.0,12.0,12.0,240000.0,258600.0,1.0775,0.08333333333333333,0.0,0.08333333333333333,0.8238838333333334,0.831685,0.84414975,0.8552619,0.8605376,0.6136363636363636,0.6136363636363636
8,常滑,24.0,16.0,1.0,15.0,8.0,8.0,160000.0,64000.0,0.4,0.0625,0.0,0.0625,0.8387906875,0.8399095,0.850881,0.8586445,0.8625655000000001,0.3333333333333333,0.3333333333333333
9,津,36.0,26.0,2.0,24.0,10.0,10.0,260000.0,13600.0,0.052307692307692305,0.0,0.0,0.0,0.834707576923077,0.84185,0.85021875,0.8660505000000001,0.87253725,,
10,三国,36.0,24.0,3.0,21.0,12.0,12.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.8280643333333334,0.8278449999999999,0.84667725,0.8669005999999999,0.8754879,,
11,びわこ,24.0,17.0,4.0,13.0,7.0,7.0,170000.0,51400.0,0.3023529411764706,0.058823529411764705,0.0,0.058823529411764705,0.8409201764705884,0.847311,0.865953,0.8735824,0.8763316,0.875,0.875
12,住之江,36.0,25.0,6.0,19.0,11.0,11.0,250000.0,23600.0,0.0944,0.0,0.0,0.0,0.84338852,0.846047,0.861571,0.8738492,0.8755528,,
13,尼崎,12.0,9.0,1.0,8.0,3.0,3.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.8179852222222223,0.805878,0.820594,0.8541276,0.8658068,,
14,鳴門,36.0,26.0,3.0,23.0,10.0,10.0,260000.0,438400.0,1.6861538461538461,0.11538461538461539,0.0,0.11538461538461539,0.8388434615384615,0.839853,0.86000325,0.8733255,0.8807305,0.6956521739130435,0.6956521739130435
15,丸亀,36.0,25.0,4.0,21.0,11.0,11.0,250000.0,12600.0,0.0504,0.04,0.0,0.04,0.84364024,0.842885,0.865011,0.8807352,0.882574,0.08333333333333333,0.08333333333333333
16,児島,12.0,9.0,2.0,7.0,3.0,3.0,90000.0,298600.0,3.3177777777777777,0.1111111111111111,0.0,0.1111111111111111,0.8433326666666666,0.834352,0.856064,0.8873782,0.8878766,0.875,0.875
17,宮島,36.0,26.0,5.0,21.0,10.0,10.0,260000.0,154400.0,0.5938461538461538,0.038461538461538464,0.0,0.038461538461538464,0.8286075000000002,0.8219019999999999,0.8656665,0.8788769999999999,0.8828594999999999,0.76,0.76
18,徳山,36.0,27.0,5.0,22.0,9.0,9.0,270000.0,171400.0,0.6348148148148148,0.07407407407407407,0.0,0.07407407407407407,0.8419875555555556,0.841751,0.8579075,0.8802504,0.8841832,0.34,0.34
19,下関,24.0,17.0,3.0,14.0,7.0,7.0,170000.0,108000.0,0.6352941176470588,0.11764705882352941,0.0,0.11764705882352941,0.8421820588235294,0.849669,0.854945,0.8771748,0.8831638,0.43333333333333335,0.43333333333333335
20,若松,36.0,25.0,3.0,22.0,11.0,11.0,250000.0,144200.0,0.5768,0.04,0.0,0.04,0.8302369199999999,0.837473,0.852471,0.866225,0.8763186,0.4583333333333333,0.4583333333333333
23,唐津,12.0,8.0,0.0,8.0,4.0,4.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.8368553750000001,0.8350955,0.84806925,0.8554155,0.86134975,,
24,大村,24.0,16.0,0.0,16.0,8.0,8.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.8234548749999999,0.824731,0.8365672500000001,0.854025,0.86240125,,
