date,race_no,tier,axis1,axis2,cands,res,hit_3t,hit_3f,inv,ret,conf,track_name,jcd,active,bet_yen_eff,daily_capped,daily_cap_k,daily_cap_rank,daily_cap_priority,tier_raw,a_pruned,a_prune_reason,wave_cm,ret_if_bet,hit_3t_if_bet,hit_3f_if_bet,two_axis,cand_policy,cand_len,cand_invalid,cand_invalid_reason,filter_excluded,filter_excluded_reason
2026-01-01,1,A,1,5,4-6,,0,0,10000,0,0.867986,三国,10,1,10000,0,10,8,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,2,SKIP,2,1,4-6,,0,0,0,0,0.850591,三国,10,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,3,A,3,1,4-5,,0,0,10000,0,0.867576,三国,10,1,10000,0,10,9,conf,A,0,,,0,0,0,1,v12,2,0,,0.0,
2026-01-01,4,SKIP,4,3,1-5,,0,0,0,0,0.814655,三国,10,0,0,1,10,,conf,A,0,,,0,0,0,1,v12,2,0,,0.0,
2026-01-01,5,SKIP,6,1,5-2,,0,0,0,0,0.830145,三国,10,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,1,v12,2,0,,,
2026-01-01,6,SKIP,3,5,6-2,,0,0,0,0,0.824413,三国,10,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,7,SKIP,4,3,5-2,,0,0,0,0,0.779378,三国,10,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,8,SKIP,6,5,4-3,,0,0,0,0,0.829426,三国,10,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,9,SKIP,3,2,5-4,,0,0,0,0,0.861721,三国,10,0,0,1,10,,conf,A,0,,,0,0,0,1,v12,2,0,,0.0,
2026-01-01,10,SKIP,2,5,4-3,,0,0,0,0,0.8454,三国,10,0,0,1,10,,conf,A,0,,,0,0,0,1,v12,2,0,,0.0,
2026-01-01,11,SKIP,1,3,5-6,,0,0,0,0,0.835959,三国,10,0,0,1,10,,conf,A,0,,,0,0,0,1,v12,2,0,,0.0,
2026-01-01,12,SKIP,1,4,3-2,,0,0,0,0,0.7894,三国,10,0,0,1,10,,conf,A,0,,,0,0,0,1,v12,2,0,,0.0,
2026-01-01,1,SKIP,1,3,5-4,,0,0,0,0,0.816608,下関,19,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,2,SKIP,3,1,2-5,,0,0,0,0,0.848573,下関,19,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,3,SKIP,6,5,1-4,,0,0,0,0,0.817393,下関,19,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,4,SKIP,5,4,1-2,,0,0,0,0,0.836086,下関,19,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,5,SKIP,4,2,5-1,,0,0,0,0,0.797783,下関,19,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,6,S,6,3,5-4,,0,0,10000,0,0.873015,下関,19,1,10000,0,10,6,conf,S,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,7,SKIP,4,1,3-6,,0,0,0,0,0.858069,下関,19,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,8,SKIP,2,1,3-4,,0,0,0,0,0.850648,下関,19,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,9,S,2,1,3-4,,0,0,10000,0,0.877498,下関,19,1,10000,0,10,3,conf,S,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,10,SKIP,1,2,3-4,,0,0,0,0,0.860284,下関,19,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,11,SKIP,2,1,3-6,,0,0,0,0,0.839721,下関,19,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,12,SKIP,1,4,3-6,,0,0,0,0,0.84229,下関,19,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,1,SKIP,1,2,3-4,,0,0,0,0,0.861891,丸亀,15,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2026-01-01,2,SKIP,4,5,2-6,,0,0,0,0,0.835022,丸亀,15,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2026-01-01,3,SKIP,3,5,4-2,,0,0,0,0,0.886126,丸亀,15,0,0,0,10,,conf,S,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2026-01-01,4,SKIP,6,5,3-2,,0,0,0,0,0.826795,丸亀,15,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2026-01-01,5,SKIP,4,2,6-1,,0,0,0,0,0.78774,丸亀,15,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,6,SKIP,3,6,1-2,,0,0,0,0,0.804619,丸亀,15,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,1,v12,2,0,,,
2026-01-01,7,SKIP,5,4,3-2,,0,0,0,0,0.820241,丸亀,15,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,1,v12,2,0,,,
2026-01-01,8,SKIP,1,4,2-3,,0,0,0,0,0.828934,丸亀,15,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,9,SKIP,6,2,4-5,,0,0,0,0,0.884026,丸亀,15,0,0,0,10,,conf,S,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2026-01-01,10,SKIP,2,1,4-3,,0,0,0,0,0.845316,丸亀,15,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2026-01-01,11,SKIP,2,1,5-3,,0,0,0,0,0.803519,丸亀,15,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2026-01-01,12,SKIP,1,6,3-2,,0,0,0,0,0.845376,丸亀,15,0,0,0,10,,conf,A,0,,,0,0,0,0,v12,2,0,,1.0,exclude_jcd
2026-01-01,1,SKIP,1,2,5-6,,0,0,0,0,0.852828,児島,16,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,2,SKIP,5,6,1-4,,0,0,0,0,0.789035,児島,16,0,0,1,10,,conf,A,0,,,0,0,0,1,v12,2,0,,0.0,
2026-01-01,3,S,6,5,2-1,,0,0,10000,0,0.871308,児島,16,1,10000,0,10,7,conf,S,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,4,SKIP,6,1,4-3,,0,0,0,0,0.850968,児島,16,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,5,SKIP,1,3,5-2,,0,0,0,0,0.833509,児島,16,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,6,SKIP,6,2,4-3,,0,0,0,0,0.81978,児島,16,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,7,SKIP,6,1,4-2,,0,0,0,0,0.866593,児島,16,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,1,v12,2,0,,,
2026-01-01,8,SKIP,1,3,2-5,,0,0,0,0,0.850861,児島,16,0,0,0,10,,conf,A,1,race_5_8,,0,0,0,0,v12,2,0,,,
2026-01-01,9,SKIP,1,2,6-3,,0,0,0,0,0.854751,児島,16,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,10,SKIP,2,1,4-3,,0,0,0,0,0.82376,児島,16,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,11,SKIP,2,1,4-3,,0,0,0,0,0.864238,児島,16,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,12,A,3,1,2-4,,0,0,10000,0,0.866544,児島,16,1,10000,0,10,10,conf,A,0,,,0,0,0,1,v12,2,0,,0.0,
2026-01-01,1,SKIP,1,6,3-2,,0,0,0,0,0.859905,唐津,23,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,2,SKIP,1,2,3-5,,0,0,0,0,0.838992,唐津,23,0,0,1,10,,conf,A,0,,,0,0,0,0,v12,2,0,,0.0,
2026-01-01,3,SKIP,1,3,5-4,,0,0,0,0,0.824742,唐津,23,0,0,1,10,,conf,A,0,,,0,0,0,1,v12,2,0,,0.0,
