date,track_name,jcd,race_no,bet_type,combo,bet_yen,tier,active,bet_yen_eff,daily_capped,daily_cap_k,daily_cap_rank,daily_cap_priority,tier_raw,a_pruned,axis1,axis2,cands,cand_policy
2026-01-01,三国,10,1,3T,1-5-4,4000,A,1,4000,0,10,,conf,A,0,1,5,4-6,v12
2026-01-01,三国,10,1,3T,1-5-6,4000,A,1,4000,0,10,,conf,A,0,1,5,4-6,v12
2026-01-01,三国,10,1,3F,1=4=5,1000,A,1,1000,0,10,,conf,A,0,1,5,4-6,v12
2026-01-01,三国,10,1,3F,1=5=6,1000,A,1,1000,0,10,,conf,A,0,1,5,4-6,v12
2026-01-01,三国,10,2,3T,2-1-4,4000,SKIP,0,0,1,10,,conf,A,0,2,1,4-6,v12
2026-01-01,三国,10,2,3T,2-1-6,4000,SKIP,0,0,1,10,,conf,A,0,2,1,4-6,v12
2026-01-01,三国,10,2,3F,1=2=4,1000,SKIP,0,0,1,10,,conf,A,0,2,1,4-6,v12
2026-01-01,三国,10,2,3F,1=2=6,1000,SKIP,0,0,1,10,,conf,A,0,2,1,4-6,v12
2026-01-01,三国,10,3,3T,3-1-4,2000,A,1,2000,0,10,,conf,A,0,3,1,4-5,v12
2026-01-01,三国,10,3,3T,3-1-5,2000,A,1,2000,0,10,,conf,A,0,3,1,4-5,v12
2026-01-01,三国,10,3,3T,1-3-4,2000,A,1,2000,0,10,,conf,A,0,3,1,4-5,v12
2026-01-01,三国,10,3,3T,1-3-5,2000,A,1,2000,0,10,,conf,A,0,3,1,4-5,v12
2026-01-01,三国,10,3,3F,1=3=4,1000,A,1,1000,0,10,,conf,A,0,3,1,4-5,v12
2026-01-01,三国,10,3,3F,1=3=5,1000,A,1,1000,0,10,,conf,A,0,3,1,4-5,v12
2026-01-01,三国,10,4,3T,4-3-1,2000,SKIP,0,0,1,10,,conf,A,0,4,3,1-5,v12
2026-01-01,三国,10,4,3T,4-3-5,2000,SKIP,0,0,1,10,,conf,A,0,4,3,1-5,v12
2026-01-01,三国,10,4,3T,3-4-1,2000,SKIP,0,0,1,10,,conf,A,0,4,3,1-5,v12
2026-01-01,三国,10,4,3T,3-4-5,2000,SKIP,0,0,1,10,,conf,A,0,4,3,1-5,v12
2026-01-01,三国,10,4,3F,1=3=4,1000,SKIP,0,0,1,10,,conf,A,0,4,3,1-5,v12
2026-01-01,三国,10,4,3F,3=4=5,1000,SKIP,0,0,1,10,,conf,A,0,4,3,1-5,v12
2026-01-01,三国,10,5,3T,6-1-5,2000,SKIP,0,0,0,10,,conf,A,1,6,1,5-2,v12
2026-01-01,三国,10,5,3T,6-1-2,2000,SKIP,0,0,0,10,,conf,A,1,6,1,5-2,v12
2026-01-01,三国,10,5,3T,1-6-5,2000,SKIP,0,0,0,10,,conf,A,1,6,1,5-2,v12
2026-01-01,三国,10,5,3T,1-6-2,2000,SKIP,0,0,0,10,,conf,A,1,6,1,5-2,v12
2026-01-01,三国,10,5,3F,1=5=6,1000,SKIP,0,0,0,10,,conf,A,1,6,1,5-2,v12
2026-01-01,三国,10,5,3F,1=2=6,1000,SKIP,0,0,0,10,,conf,A,1,6,1,5-2,v12
2026-01-01,三国,10,6,3T,3-5-6,4000,SKIP,0,0,0,10,,conf,A,1,3,5,6-2,v12
2026-01-01,三国,10,6,3T,3-5-2,4000,SKIP,0,0,0,10,,conf,A,1,3,5,6-2,v12
2026-01-01,三国,10,6,3F,3=5=6,1000,SKIP,0,0,0,10,,conf,A,1,3,5,6-2,v12
2026-01-01,三国,10,6,3F,2=3=5,1000,SKIP,0,0,0,10,,conf,A,1,3,5,6-2,v12
2026-01-01,三国,10,7,3T,4-3-5,4000,SKIP,0,0,0,10,,conf,A,1,4,3,5-2,v12
2026-01-01,三国,10,7,3T,4-3-2,4000,SKIP,0,0,0,10,,conf,A,1,4,3,5-2,v12
2026-01-01,三国,10,7,3F,3=4=5,1000,SKIP,0,0,0,10,,conf,A,1,4,3,5-2,v12
2026-01-01,三国,10,7,3F,2=3=4,1000,SKIP,0,0,0,10,,conf,A,1,4,3,5-2,v12
2026-01-01,三国,10,8,3T,6-5-4,4000,SKIP,0,0,0,10,,conf,A,1,6,5,4-3,v12
2026-01-01,三国,10,8,3T,6-5-3,4000,SKIP,0,0,0,10,,conf,A,1,6,5,4-3,v12
2026-01-01,三国,10,8,3F,4=5=6,1000,SKIP,0,0,0,10,,conf,A,1,6,5,4-3,v12
2026-01-01,三国,10,8,3F,3=5=6,1000,SKIP,0,0,0,10,,conf,A,1,6,5,4-3,v12
2026-01-01,三国,10,9,3T,3-2-5,2000,SKIP,0,0,1,10,,conf,A,0,3,2,5-4,v12
2026-01-01,三国,10,9,3T,3-2-4,2000,SKIP,0,0,1,10,,conf,A,0,3,2,5-4,v12
2026-01-01,三国,10,9,3T,2-3-5,2000,SKIP,0,0,1,10,,conf,A,0,3,2,5-4,v12
2026-01-01,三国,10,9,3T,2-3-4,2000,SKIP,0,0,1,10,,conf,A,0,3,2,5-4,v12
2026-01-01,三国,10,9,3F,2=3=5,1000,SKIP,0,0,1,10,,conf,A,0,3,2,5-4,v12
2026-01-01,三国,10,9,3F,2=3=4,1000,SKIP,0,0,1,10,,conf,A,0,3,2,5-4,v12
2026-01-01,三国,10,10,3T,2-5-4,2000,SKIP,0,0,1,10,,conf,A,0,2,5,4-3,v12
2026-01-01,三国,10,10,3T,2-5-3,2000,SKIP,0,0,1,10,,conf,A,0,2,5,4-3,v12
2026-01-01,三国,10,10,3T,5-2-4,2000,SKIP,0,0,1,10,,conf,A,0,2,5,4-3,v12
2026-01-01,三国,10,10,3T,5-2-3,2000,SKIP,0,0,1,10,,conf,A,0,2,5,4-3,v12
2026-01-01,三国,10,10,3F,2=4=5,1000,SKIP,0,0,1,10,,conf,A,0,2,5,4-3,v12
2026-01-01,三国,10,10,3F,2=3=5,1000,SKIP,0,0,1,10,,conf,A,0,2,5,4-3,v12
2026-01-01,三国,10,11,3T,1-3-5,2000,SKIP,0,0,1,10,,conf,A,0,1,3,5-6,v12
2026-01-01,三国,10,11,3T,1-3-6,2000,SKIP,0,0,1,10,,conf,A,0,1,3,5-6,v12
2026-01-01,三国,10,11,3T,3-1-5,2000,SKIP,0,0,1,10,,conf,A,0,1,3,5-6,v12
2026-01-01,三国,10,11,3T,3-1-6,2000,SKIP,0,0,1,10,,conf,A,0,1,3,5-6,v12
2026-01-01,三国,10,11,3F,1=3=5,1000,SKIP,0,0,1,10,,conf,A,0,1,3,5-6,v12
2026-01-01,三国,10,11,3F,1=3=6,1000,SKIP,0,0,1,10,,conf,A,0,1,3,5-6,v12
2026-01-01,三国,10,12,3T,1-4-3,2000,SKIP,0,0,1,10,,conf,A,0,1,4,3-2,v12
2026-01-01,三国,10,12,3T,1-4-2,2000,SKIP,0,0,1,10,,conf,A,0,1,4,3-2,v12
2026-01-01,三国,10,12,3T,4-1-3,2000,SKIP,0,0,1,10,,conf,A,0,1,4,3-2,v12
2026-01-01,三国,10,12,3T,4-1-2,2000,SKIP,0,0,1,10,,conf,A,0,1,4,3-2,v12
2026-01-01,三国,10,12,3F,1=3=4,1000,SKIP,0,0,1,10,,conf,A,0,1,4,3-2,v12
2026-01-01,三国,10,12,3F,1=2=4,1000,SKIP,0,0,1,10,,conf,A,0,1,4,3-2,v12
2026-01-01,下関,19,1,3T,1-3-5,4000,SKIP,0,0,1,10,,conf,A,0,1,3,5-4,v12
2026-01-01,下関,19,1,3T,1-3-4,4000,SKIP,0,0,1,10,,conf,A,0,1,3,5-4,v12
2026-01-01,下関,19,1,3F,1=3=5,1000,SKIP,0,0,1,10,,conf,A,0,1,3,5-4,v12
2026-01-01,下関,19,1,3F,1=3=4,1000,SKIP,0,0,1,10,,conf,A,0,1,3,5-4,v12
2026-01-01,下関,19,2,3T,3-1-2,4000,SKIP,0,0,1,10,,conf,A,0,3,1,2-5,v12
2026-01-01,下関,19,2,3T,3-1-5,4000,SKIP,0,0,1,10,,conf,A,0,3,1,2-5,v12
2026-01-01,下関,19,2,3F,1=2=3,1000,SKIP,0,0,1,10,,conf,A,0,3,1,2-5,v12
2026-01-01,下関,19,2,3F,1=3=5,1000,SKIP,0,0,1,10,,conf,A,0,3,1,2-5,v12
2026-01-01,下関,19,3,3T,6-5-1,4000,SKIP,0,0,1,10,,conf,A,0,6,5,1-4,v12
2026-01-01,下関,19,3,3T,6-5-4,4000,SKIP,0,0,1,10,,conf,A,0,6,5,1-4,v12
2026-01-01,下関,19,3,3F,1=5=6,1000,SKIP,0,0,1,10,,conf,A,0,6,5,1-4,v12
2026-01-01,下関,19,3,3F,4=5=6,1000,SKIP,0,0,1,10,,conf,A,0,6,5,1-4,v12
2026-01-01,下関,19,4,3T,5-4-1,4000,SKIP,0,0,1,10,,conf,A,0,5,4,1-2,v12
2026-01-01,下関,19,4,3T,5-4-2,4000,SKIP,0,0,1,10,,conf,A,0,5,4,1-2,v12
2026-01-01,下関,19,4,3F,1=4=5,1000,SKIP,0,0,1,10,,conf,A,0,5,4,1-2,v12
2026-01-01,下関,19,4,3F,2=4=5,1000,SKIP,0,0,1,10,,conf,A,0,5,4,1-2,v12
2026-01-01,下関,19,5,3T,4-2-5,4000,SKIP,0,0,0,10,,conf,A,1,4,2,5-1,v12
2026-01-01,下関,19,5,3T,4-2-1,4000,SKIP,0,0,0,10,,conf,A,1,4,2,5-1,v12
2026-01-01,下関,19,5,3F,2=4=5,1000,SKIP,0,0,0,10,,conf,A,1,4,2,5-1,v12
2026-01-01,下関,19,5,3F,1=2=4,1000,SKIP,0,0,0,10,,conf,A,1,4,2,5-1,v12
2026-01-01,下関,19,6,3T,6-3-5,4000,S,1,4000,0,10,,conf,S,0,6,3,5-4,v12
2026-01-01,下関,19,6,3T,6-3-4,4000,S,1,4000,0,10,,conf,S,0,6,3,5-4,v12
2026-01-01,下関,19,6,3F,3=5=6,1000,S,1,1000,0,10,,conf,S,0,6,3,5-4,v12
2026-01-01,下関,19,6,3F,3=4=6,1000,S,1,1000,0,10,,conf,S,0,6,3,5-4,v12
2026-01-01,下関,19,7,3T,4-1-3,4000,SKIP,0,0,0,10,,conf,A,1,4,1,3-6,v12
2026-01-01,下関,19,7,3T,4-1-6,4000,SKIP,0,0,0,10,,conf,A,1,4,1,3-6,v12
2026-01-01,下関,19,7,3F,1=3=4,1000,SKIP,0,0,0,10,,conf,A,1,4,1,3-6,v12
2026-01-01,下関,19,7,3F,1=4=6,1000,SKIP,0,0,0,10,,conf,A,1,4,1,3-6,v12
2026-01-01,下関,19,8,3T,2-1-3,4000,SKIP,0,0,0,10,,conf,A,1,2,1,3-4,v12
2026-01-01,下関,19,8,3T,2-1-4,4000,SKIP,0,0,0,10,,conf,A,1,2,1,3-4,v12
2026-01-01,下関,19,8,3F,1=2=3,1000,SKIP,0,0,0,10,,conf,A,1,2,1,3-4,v12
2026-01-01,下関,19,8,3F,1=2=4,1000,SKIP,0,0,0,10,,conf,A,1,2,1,3-4,v12
2026-01-01,下関,19,9,3T,2-1-3,4000,S,1,4000,0,10,,conf,S,0,2,1,3-4,v12
2026-01-01,下関,19,9,3T,2-1-4,4000,S,1,4000,0,10,,conf,S,0,2,1,3-4,v12
