date,track_name,jcd,race_no,combo_3t,payout_3t,combo_3f,payout_3f,combo_2t,payout_2t,combo_2f,payout_2f,src_file
2025-12-31,桐生,1,1,3-1-4,1420,1-3-4,300,3-1,750,1-3,390,K251231.TXT
2025-12-31,桐生,1,1,3-1-4,1420,1-3-4,300,3-1,750,1-3,390,K251231.TXT
2025-12-31,桐生,1,2,1-2-4,2790,1-2-4,1090,1-2,740,1-2,240,K251231.TXT
2025-12-31,桐生,1,2,1-2-4,2790,1-2-4,1090,1-2,740,1-2,240,K251231.TXT
2025-12-31,桐生,1,3,1-5-2,2360,1-2-5,720,1-5,710,1-5,430,K251231.TXT
2025-12-31,桐生,1,3,1-5-2,2360,1-2-5,720,1-5,710,1-5,430,K251231.TXT
2025-12-31,桐生,1,4,4-6-3,8330,3-4-6,1820,4-6,1760,4-6,1860,K251231.TXT
2025-12-31,桐生,1,4,4-6-3,8330,3-4-6,1820,4-6,1760,4-6,1860,K251231.TXT
2025-12-31,桐生,1,5,2-1-6,12300,1-2-6,920,2-1,3470,1-2,640,K251231.TXT
2025-12-31,桐生,1,5,2-1-6,12300,1-2-6,920,2-1,3470,1-2,640,K251231.TXT
2025-12-31,桐生,1,6,1-2-3,550,1-2-3,280,1-2,260,1-2,190,K251231.TXT
2025-12-31,桐生,1,6,1-2-3,550,1-2-3,280,1-2,260,1-2,190,K251231.TXT
2025-12-31,桐生,1,7,1-3-2,670,1-2-3,340,1-3,240,1-3,170,K251231.TXT
2025-12-31,桐生,1,7,1-3-2,670,1-2-3,340,1-3,240,1-3,170,K251231.TXT
2025-12-31,桐生,1,8,5-4-1,1900,1-4-5,420,5-4,870,4-5,450,K251231.TXT
2025-12-31,桐生,1,8,5-4-1,1900,1-4-5,420,5-4,870,4-5,450,K251231.TXT
2025-12-31,桐生,1,9,3-2-6,7690,2-3-6,2260,3-2,2350,2-3,1110,K251231.TXT
2025-12-31,桐生,1,9,3-2-6,7690,2-3-6,2260,3-2,2350,2-3,1110,K251231.TXT
2025-12-31,桐生,1,10,1-2-3,1040,1-2-3,490,1-2,340,1-2,150,K251231.TXT
2025-12-31,桐生,1,10,1-2-3,1040,1-2-3,490,1-2,340,1-2,150,K251231.TXT
2025-12-31,桐生,1,11,2-1-3,4480,1-2-3,240,2-1,3160,1-2,590,K251231.TXT
2025-12-31,桐生,1,11,2-1-3,4480,1-2-3,240,2-1,3160,1-2,590,K251231.TXT
2025-12-31,桐生,1,12,4-5-3,10840,3-4-5,3680,4-5,2580,4-5,1560,K251231.TXT
2025-12-31,桐生,1,12,4-5-3,10840,3-4-5,3680,4-5,2580,4-5,1560,K251231.TXT
2025-12-31,戸田,2,1,4-1-5,5240,1-4-5,1330,4-1,1240,1-4,530,K251231.TXT
2025-12-31,戸田,2,1,4-1-5,5240,1-4-5,1330,4-1,1240,1-4,530,K251231.TXT
2025-12-31,戸田,2,2,2-5-6,1600,2-5-6,990,2-5,480,2-5,310,K251231.TXT
2025-12-31,戸田,2,2,2-5-6,1600,2-5-6,990,2-5,480,2-5,310,K251231.TXT
2025-12-31,戸田,2,3,1-3-4,2290,1-3-4,470,1-3,1130,1-3,510,K251231.TXT
2025-12-31,戸田,2,3,1-3-4,2290,1-3-4,470,1-3,1130,1-3,510,K251231.TXT
2025-12-31,戸田,2,4,3-5-1,4030,1-3-5,320,3-5,2160,3-5,990,K251231.TXT
2025-12-31,戸田,2,4,3-5-1,4030,1-3-5,320,3-5,2160,3-5,990,K251231.TXT
2025-12-31,戸田,2,5,4-1-3,2450,1-3-4,440,4-1,430,1-4,190,K251231.TXT
2025-12-31,戸田,2,5,4-1-3,2450,1-3-4,440,4-1,430,1-4,190,K251231.TXT
2025-12-31,戸田,2,6,1-3-5,1710,1-3-5,460,1-3,560,1-3,660,K251231.TXT
2025-12-31,戸田,2,6,1-3-5,1710,1-3-5,460,1-3,560,1-3,660,K251231.TXT
2025-12-31,戸田,2,7,1-2-4,1440,1-2-4,550,1-2,600,1-2,570,K251231.TXT
2025-12-31,戸田,2,7,1-2-4,1440,1-2-4,550,1-2,600,1-2,570,K251231.TXT
2025-12-31,戸田,2,8,3-2-1,5060,1-2-3,310,3-2,2100,2-3,720,K251231.TXT
2025-12-31,戸田,2,8,3-2-1,5060,1-2-3,310,3-2,2100,2-3,720,K251231.TXT
2025-12-31,戸田,2,9,1-3-4,990,1-3-4,320,1-3,430,1-3,230,K251231.TXT
2025-12-31,戸田,2,9,1-3-4,990,1-3-4,320,1-3,430,1-3,230,K251231.TXT
2025-12-31,戸田,2,10,5-3-1,22290,1-3-5,1110,5-3,7030,3-5,2030,K251231.TXT
2025-12-31,戸田,2,10,5-3-1,22290,1-3-5,1110,5-3,7030,3-5,2030,K251231.TXT
2025-12-31,戸田,2,11,1-3-5,780,1-3-5,460,1-3,290,1-3,230,K251231.TXT
2025-12-31,戸田,2,11,1-3-5,780,1-3-5,460,1-3,290,1-3,230,K251231.TXT
2025-12-31,戸田,2,12,1-2-6,5970,1-2-6,2630,1-2,690,1-2,710,K251231.TXT
2025-12-31,戸田,2,12,1-2-6,5970,1-2-6,2630,1-2,690,1-2,710,K251231.TXT
2025-12-31,平和島,4,1,4-5-2,4010,2-4-5,880,4-5,1670,4-5,1060,K251231.TXT
2025-12-31,平和島,4,1,4-5-2,4010,2-4-5,880,4-5,1670,4-5,1060,K251231.TXT
2025-12-31,平和島,4,2,3-1-2,2910,1-2-3,320,3-1,1090,1-3,380,K251231.TXT
2025-12-31,平和島,4,2,3-1-2,2910,1-2-3,320,3-1,1090,1-3,380,K251231.TXT
2025-12-31,平和島,4,3,3-2-4,6210,2-3-4,710,3-2,3870,2-3,980,K251231.TXT
2025-12-31,平和島,4,3,3-2-4,6210,2-3-4,710,3-2,3870,2-3,980,K251231.TXT
2025-12-31,平和島,4,4,1-3-2,2350,1-2-3,730,1-3,560,1-3,420,K251231.TXT
2025-12-31,平和島,4,4,1-3-2,2350,1-2-3,730,1-3,560,1-3,420,K251231.TXT
2025-12-31,平和島,4,5,4-2-3,3010,2-3-4,630,4-2,940,2-4,430,K251231.TXT
2025-12-31,平和島,4,5,4-2-3,3010,2-3-4,630,4-2,940,2-4,430,K251231.TXT
2025-12-31,平和島,4,6,1-4-2,1350,1-2-4,500,1-4,430,1-4,420,K251231.TXT
2025-12-31,平和島,4,6,1-4-2,1350,1-2-4,500,1-4,430,1-4,420,K251231.TXT
2025-12-31,平和島,4,7,3-5-1,2900,1-3-5,440,3-5,950,3-5,300,K251231.TXT
2025-12-31,平和島,4,7,3-5-1,2900,1-3-5,440,3-5,950,3-5,300,K251231.TXT
2025-12-31,平和島,4,8,1-5-3,3230,1-3-5,540,1-5,1830,1-5,1170,K251231.TXT
2025-12-31,平和島,4,8,1-5-3,3230,1-3-5,540,1-5,1830,1-5,1170,K251231.TXT
2025-12-31,平和島,4,9,1-2-3,1330,1-2-3,510,1-2,570,1-2,470,K251231.TXT
2025-12-31,平和島,4,9,1-2-3,1330,1-2-3,510,1-2,570,1-2,470,K251231.TXT
2025-12-31,平和島,4,10,3-1-2,5630,1-2-3,320,3-1,3820,1-3,770,K251231.TXT
2025-12-31,平和島,4,10,3-1-2,5630,1-2-3,320,3-1,3820,1-3,770,K251231.TXT
2025-12-31,平和島,4,11,1-2-5,1590,1-2-5,1090,1-2,250,1-2,270,K251231.TXT
2025-12-31,平和島,4,11,1-2-5,1590,1-2-5,1090,1-2,250,1-2,270,K251231.TXT
2025-12-31,平和島,4,12,2-6-4,43780,2-4-6,5520,2-6,9250,2-6,4140,K251231.TXT
2025-12-31,平和島,4,12,2-6-4,43780,2-4-6,5520,2-6,9250,2-6,4140,K251231.TXT
2025-12-31,多摩川,5,1,1-5-3,4170,1-3-5,1130,1-5,1330,1-5,1120,K251231.TXT
2025-12-31,多摩川,5,1,1-5-3,4170,1-3-5,1130,1-5,1330,1-5,1120,K251231.TXT
2025-12-31,多摩川,5,2,3-2-5,14730,2-3-5,1230,3-2,6330,2-3,2030,K251231.TXT
2025-12-31,多摩川,5,2,3-2-5,14730,2-3-5,1230,3-2,6330,2-3,2030,K251231.TXT
2025-12-31,多摩川,5,3,1-3-6,2430,1-3-6,1430,1-3,540,1-3,400,K251231.TXT
2025-12-31,多摩川,5,3,1-3-6,2430,1-3-6,1430,1-3,540,1-3,400,K251231.TXT
2025-12-31,多摩川,5,4,2-6-5,1670,2-5-6,550,2-6,730,2-6,410,K251231.TXT
2025-12-31,多摩川,5,4,2-6-5,1670,2-5-6,550,2-6,730,2-6,410,K251231.TXT
2025-12-31,多摩川,5,5,5-3-2,4610,2-3-5,1060,5-3,1290,3-5,590,K251231.TXT
2025-12-31,多摩川,5,5,5-3-2,4610,2-3-5,1060,5-3,1290,3-5,590,K251231.TXT
2025-12-31,多摩川,5,6,3-5-2,9600,2-3-5,2340,3-5,910,3-5,640,K251231.TXT
2025-12-31,多摩川,5,6,3-5-2,9600,2-3-5,2340,3-5,910,3-5,640,K251231.TXT
2025-12-31,多摩川,5,7,1-4-2,920,1-2-4,220,1-4,460,1-4,430,K251231.TXT
2025-12-31,多摩川,5,7,1-4-2,920,1-2-4,220,1-4,460,1-4,430,K251231.TXT
2025-12-31,多摩川,5,8,1-3-4,930,1-3-4,330,1-3,210,1-3,180,K251231.TXT
2025-12-31,多摩川,5,8,1-3-4,930,1-3-4,330,1-3,210,1-3,180,K251231.TXT
2025-12-31,多摩川,5,9,1-2-6,3250,1-2-6,1130,1-2,420,1-2,250,K251231.TXT
2025-12-31,多摩川,5,9,1-2-6,3250,1-2-6,1130,1-2,420,1-2,250,K251231.TXT
2025-12-31,多摩川,5,10,2-5-4,10090,2-4-5,1640,2-5,3530,2-5,1890,K251231.TXT
2025-12-31,多摩川,5,10,2-5-4,10090,2-4-5,1640,2-5,3530,2-5,1890,K251231.TXT
2025-12-31,多摩川,5,11,1-3-2,680,1-2-3,280,1-3,270,1-3,220,K251231.TXT
2025-12-31,多摩川,5,11,1-3-2,680,1-2-3,280,1-3,270,1-3,220,K251231.TXT
2025-12-31,多摩川,5,12,3-2-4,41480,2-3-4,4090,3-2,9260,2-3,4820,K251231.TXT
2025-12-31,多摩川,5,12,3-2-4,41480,2-3-4,4090,3-2,9260,2-3,4820,K251231.TXT
