date,track_name,jcd,race_no,combo_3t,payout_3t,combo_3f,payout_3f,url,status
2025-10-02,江戸川,3,1,5-6-2,57880,2=5=6,3740,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=1,ok
2025-10-02,江戸川,3,2,3-5-1,4520,1=3=5,340,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=2,ok
2025-10-02,江戸川,3,3,1-3-5,2820,1=3=5,980,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=3,ok
2025-10-02,江戸川,3,4,1-4-3,1540,1=3=4,390,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=4,ok
2025-10-02,江戸川,3,5,1-3-4,800,1=3=4,340,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=5,ok
2025-10-02,江戸川,3,6,3-2-5,4150,2=3=5,740,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=6,ok
2025-10-02,江戸川,3,7,1-3-4,1850,1=3=4,760,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=7,ok
2025-10-02,江戸川,3,8,1-3-5,1390,1=3=5,460,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=8,ok
2025-10-02,江戸川,3,9,2-3-4,940,2=3=4,490,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=9,ok
2025-10-02,江戸川,3,10,1-2-3,1250,1=2=3,410,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=10,ok
2025-10-02,江戸川,3,11,1-3-5,1990,1=3=5,1070,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=11,ok
2025-10-02,江戸川,3,12,1-5-6,3600,1=5=6,1920,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=03&rno=12,ok
2025-10-02,平和島,4,1,1-4-2,1300,1=2=4,310,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=1,ok
2025-10-02,平和島,4,2,6-1-3,7200,1=3=6,860,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=2,ok
2025-10-02,平和島,4,3,3-4-2,4430,2=3=4,970,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=3,ok
2025-10-02,平和島,4,4,4-2-3,13480,2=3=4,930,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=4,ok
2025-10-02,平和島,4,5,1-2-4,800,1=2=4,410,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=5,ok
2025-10-02,平和島,4,6,1-6-4,3840,1=4=6,1090,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=6,ok
2025-10-02,平和島,4,7,3-2-1,3340,1=2=3,250,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=7,ok
2025-10-02,平和島,4,8,1-3-2,3190,1=2=3,830,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=8,ok
2025-10-02,平和島,4,9,1-5-3,3460,1=3=5,470,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=9,ok
2025-10-02,平和島,4,10,1-2-5,5650,1=2=5,1400,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=10,ok
2025-10-02,平和島,4,11,3-4-5,6370,3=4=5,4230,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=11,ok
2025-10-02,平和島,4,12,1-2-5,800,1=2=5,370,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=04&rno=12,ok
2025-10-02,多摩川,5,1,1-3-2,1870,1=2=3,680,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=1,ok
2025-10-02,多摩川,5,2,1-5-4,2350,1=4=5,520,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=2,ok
2025-10-02,多摩川,5,3,1-5-2,1760,1=2=5,580,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=3,ok
2025-10-02,多摩川,5,4,2-3-6,8750,2=3=6,4320,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=4,ok
2025-10-02,多摩川,5,5,2-4-6,10310,2=4=6,2320,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=5,ok
2025-10-02,多摩川,5,6,1-2-3,760,1=2=3,400,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=6,ok
2025-10-02,多摩川,5,7,1-2-6,2380,1=2=6,1470,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=7,ok
2025-10-02,多摩川,5,8,2-4-5,6610,2=4=5,2760,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=8,ok
2025-10-02,多摩川,5,9,1-4-5,4220,1=4=5,2090,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=9,ok
2025-10-02,多摩川,5,10,1-3-2,730,1=2=3,290,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=10,ok
2025-10-02,多摩川,5,11,1-3-4,590,1=3=4,290,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=11,ok
2025-10-02,多摩川,5,12,1-2-3,1020,1=2=3,540,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=05&rno=12,ok
2025-10-02,浜名湖,6,1,1-2-5,1020,1=2=5,490,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=1,ok
2025-10-02,浜名湖,6,2,1-2-4,1990,1=2=4,660,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=2,ok
2025-10-02,浜名湖,6,3,1-3-4,1380,1=3=4,740,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=3,ok
2025-10-02,浜名湖,6,4,1-4-3,2990,1=3=4,570,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=4,ok
2025-10-02,浜名湖,6,5,2-1-5,4480,1=2=5,490,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=5,ok
2025-10-02,浜名湖,6,6,1-5-6,620,1=5=6,240,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=6,ok
2025-10-02,浜名湖,6,7,1-5-2,5790,1=2=5,1520,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=7,ok
2025-10-02,浜名湖,6,8,1-4-5,700,1=4=5,360,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=8,ok
2025-10-02,浜名湖,6,9,1-3-4,860,1=3=4,340,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=9,ok
2025-10-02,浜名湖,6,10,1-5-3,6280,1=3=5,1710,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=10,ok
2025-10-02,浜名湖,6,11,2-1-4,6590,1=2=4,980,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=11,ok
2025-10-02,浜名湖,6,12,1-3-6,2490,1=3=6,1230,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=06&rno=12,ok
2025-10-02,びわこ,11,1,1-2-4,1240,1=2=4,620,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=11&rno=1,ok
2025-10-02,びわこ,11,2,1-3-4,770,1=3=4,280,https://www.boatrace.jp/owpc/pc/race/raceresult?hd=20251002&jcd=11&rno=2,ok
